frequencies
94.75
96.75
111.75
166.5
167.5
143.5
152.5
155.75
160.375
167
159.25
153.25
144.375
159.625
164.75
161.5
155.125
152.5
161.75
164.125
154.625
60.25
85
103.125
138.875
157.5
162.25
166.75
166.125
146.125
